fecha,local,visitante,goles_local,goles_visita,torneo,ciudad,pais_x,neutral,difgol,gana_local,gana_visita,ranking_local,abrev_local,ranking_visitante,abrev_visitante,dif_ranking
1993-04-04,El Salvador,Mexico,2,1,FIFA World Cup qualification,San Salvador,El Salvador,"FALSO
",1,1,0,50,"ESA
",25,MEX,25
1993-04-11,"Mexico
",Honduras,3,0,FIFA World Cup qualification,Ciudad de Mexico,Mexico,FALSE,3,1,0,25,"MEX
",32,"HON
",-7
1993-04-18,"Mexico
",El Salvador,3,1,FIFA World Cup qualification,Ciudad de Mexico,Mexico,FALSE,2,1,0,25,"MEX
",50,ESA,-25
1993-04-25,"Honduras
",El Salvador,2,0,FIFA World Cup qualification,Tegucigalpa,Honduras,FALSE,2,1,0,32,HON,50,ESA,-18
1993-05-02,"Honduras
",Mexico,1,4,FIFA World Cup qualification,Tegucigalpa,Honduras,FALSE,-3,0,1,32,HON,25,MEX,7
1993-05-09,El Salvador,Honduras,2,1,FIFA World Cup qualification,San Salvador,El Salvador,FALSO,1,1,0,50,"ESA
",32,"HON
",18
1993-07-10,Estados Unidos,Jamaica,1,0,Gold Cup,Dallas,Estados Unidos,FALSO,1,1,0,24,EUA,67,JAM,-43
1993-07-14,"Jamaica
",Honduras,3,1,Gold Cup,Dallas,Estados Unidos,VERDADERO,2,1,0,67,JAM,32,"HON
",35
1993-07-15,"Mexico
","Costa Rica
",1,1,Gold Cup,Ciudad de Mexico,Mexico,FALSE,0,0,0,25,"MEX
",37,CRI,-12
1993-07-17,Estados Unidos,Honduras,1,0,Gold Cup,Dallas,Estados Unidos,FALSO,1,1,0,24,EUA,32,"HON
",-8
1993-07-21,Estados Unidos,"Costa Rica
",1,0,Gold Cup,Dallas,Estados Unidos,FALSO,1,1,0,24,EUA,37,CRI,-13
1993-07-22,"Mexico
",Jamaica,6,1,Gold Cup,Ciudad de Mexico,Mexico,FALSE,5,1,0,25,"MEX
",67,JAM,-42
1993-07-25,Costa Rica,Jamaica,1,1,Gold Cup,Ciudad de Mexico,Mexico,VERDADERO,0,0,0,37,CRI,67,JAM,-30
1993-07-25,"Mexico
",Estados Unidos,4,0,Gold Cup,Ciudad de Mexico,Mexico,FALSE,4,1,0,25,"MEX
",24,EUA,1
1993-03-09,Honduras,El Salvador,3,0,UNCAF Cup,Tegucigalpa,Honduras,FALSE,3,1,0,62,HON,66,ESA,-4
1996-08-14,Honduras,El Salvador,2,1,Friendly,San Pedro Sula,Honduras,FALSE,1,1,0,62,HON,76,ESA,-14
1996-10-21,Honduras,El Salvador,1,1,Friendly,Tegucigalpa,Honduras,FALSE,0,0,0,62,HON,76,ESA,-14
1997-04-18,Honduras,El Salvador,3,0,UNCAF Cup,Guatemala,Guatemala,TRUE,3,1,0,62,HON,69,ESA,-7
1997-04-27,Honduras,El Salvador,0,0,UNCAF Cup,Guatemala,Guatemala,TRUE,0,0,0,62,HON,69,ESA,-7
1999-03-24,Honduras,El Salvador,3,1,UNCAF Cup,San José,Costa Rica,TRUE,2,1,0,62,HON,69,ESA,-7
2000-02-09,Honduras,El Salvador,5,1,Friendly,San Pedro Sula,Honduras,FALSE,4,1,0,62,HON,69,ESA,-7
2000-09-02,Honduras,El Salvador,5,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,5,1,0,62,HON,69,ESA,-7
2001-05-27,Honduras,El Salvador,1,1,UNCAF Cup,San Pedro Sula,Honduras,FALSE,0,0,0,62,HON,69,ESA,-7
2003-02-15,Honduras,El Salvador,0,1,UNCAF Cup,Panama City,Panama,TRUE,-1,0,1,62,HON,69,ESA,-7
2003-06-29,Honduras,El Salvador,1,1,Friendly,Tegucigalpa,Honduras,FALSE,0,0,0,62,HON,69,ESA,-7
2006-09-06,Honduras,El Salvador,2,0,Friendly,Tegucigalpa,Honduras,FALSE,2,1,0,62,HON,69,ESA,-7
2009-01-26,Honduras,El Salvador,2,0,UNCAF Cup,Tegucigalpa,Honduras,FALSE,2,1,0,62,HON,69,ESA,-7
2009-02-01,Honduras,El Salvador,1,0,UNCAF Cup,Tegucigalpa,Honduras,FALSE,1,1,0,62,HON,69,ESA,-7
2009-06-10,Honduras,El Salvador,1,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,1,1,0,62,HON,69,ESA,-7
2011-01-21,Honduras,El Salvador,2,0,UNCAF Cup,Panama City,Panama,TRUE,2,1,0,62,HON,69,ESA,-7
2013-01-18,Honduras,El Salvador,1,1,UNCAF Cup,San José,Costa Rica,TRUE,0,0,0,62,HON,69,ESA,-7
2013-07-12,Honduras,El Salvador,1,0,Gold Cup,Miami Gardens,United States,TRUE,1,1,0,62,HON,69,ESA,-7
2016-03-29,Honduras,El Salvador,2,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,2,1,0,62,HON,69,ESA,-7
2019-06-25,Honduras,El Salvador,4,0,Gold Cup,Los Angeles,United States,TRUE,4,1,0,62,HON,69,ESA,-7
1994-05-03,El Salvador,Honduras,3,1,Friendly,Miami,United States,TRUE,2,1,0,66,"ESA
",62,"HON
",4
1996-08-21,El Salvador,Honduras,1,2,Friendly,San Salvador,El Salvador,FALSE,-1,0,1,76,"ESA
",62,"HON
",14
1998-11-18,El Salvador,Honduras,1,2,Friendly,Los Angeles,United States,TRUE,-1,0,1,69,"ESA
",62,"HON
",7
2000-07-16,El Salvador,Honduras,2,5,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,-3,0,1,69,"ESA
",62,"HON
",7
2004-08-03,El Salvador,Honduras,0,4,Friendly,San Salvador,El Salvador,FALSE,-4,0,1,69,"ESA
",62,"HON
",7
2007-03-24,El Salvador,Honduras,0,2,Friendly,Fort Lauderdale,United States,TRUE,-2,0,1,69,"ESA
",62,"HON
",7
2007-03-27,El Salvador,Honduras,0,2,Friendly,Cary,United States,TRUE,-2,0,1,69,"ESA
",62,"HON
",7
2007-08-22,El Salvador,Honduras,2,0,Friendly,San Salvador,El Salvador,FALSE,2,1,0,69,"ESA
",62,"HON
",7
2009-10-14,El Salvador,Honduras,0,1,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,-1,0,1,69,"ESA
",62,"HON
",7
2010-09-04,El Salvador,Honduras,2,2,Friendly,Los Angeles,United States,TRUE,0,0,0,69,"ESA
",62,"HON
",7
2011-05-29,El Salvador,Honduras,2,2,Friendly,Houston,United States,TRUE,0,0,0,69,"ESA
",62,"HON
",7
2012-06-02,El Salvador,Honduras,0,3,Friendly,Washington,United States,TRUE,-3,0,1,69,"ESA
",62,"HON
",7
2015-05-31,El Salvador,Honduras,0,2,Friendly,Washington,United States,TRUE,-2,0,1,69,"ESA
",62,"HON
",7
2016-03-25,El Salvador,Honduras,2,2,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,0,0,0,69,"ESA
",62,"HON
",7
2017-01-15,El Salvador,Honduras,1,2,UNCAF Cup,Panama City,Panama,TRUE,-1,0,1,69,"ESA
",62,"HON
",7
2017-05-28,El Salvador,Honduras,2,2,Friendly,Washington,United States,TRUE,0,0,0,69,"ESA
",62,"HON
",7
2018-06-02,El Salvador,Honduras,1,0,Friendly,Houston,United States,TRUE,1,1,0,69,"ESA
",62,"HON
",7
1993-03-07,Honduras,Costa Rica,2,0,UNCAF Cup,Tegucigalpa,Honduras,FALSE,2,1,0,62,HON,46,CRI,16
1995-12-07,Honduras,Costa Rica,1,1,UNCAF Cup,San Salvador,El Salvador,TRUE,0,0,0,62,HON,46,CRI,16
1996-08-11,Honduras,Costa Rica,0,0,Friendly,Tegucigalpa,Honduras,FALSE,0,0,0,62,HON,46,CRI,16
1997-04-23,Honduras,Costa Rica,0,4,UNCAF Cup,Guatemala,Guatemala,TRUE,-4,0,1,62,HON,46,CRI,16
2001-07-01,Honduras,Costa Rica,2,3,FIFA World Cup qualification,Tegucigalpa,Honduras,FALSE,-1,0,1,62,HON,46,CRI,16
2001-07-13,Honduras,Costa Rica,0,1,Copa América,Medellín,Colombia,TRUE,-1,0,1,62,HON,46,CRI,16
2004-11-17,Honduras,Costa Rica,0,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,0,0,0,62,HON,46,CRI,16
2005-07-16,Honduras,Costa Rica,3,2,Gold Cup,Foxborough,United States,TRUE,1,1,0,62,HON,46,CRI,16
2009-08-12,Honduras,Costa Rica,4,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,4,1,0,62,HON,46,CRI,16
2011-01-23,Honduras,Costa Rica,2,1,UNCAF Cup,Panama City,Panama,TRUE,1,1,0,62,HON,46,CRI,16
2013-07-21,Honduras,Costa Rica,1,0,Gold Cup,Baltimore,United States,TRUE,1,1,0,62,HON,46,CRI,16
2013-10-11,Honduras,Costa Rica,1,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,1,1,0,62,HON,46,CRI,16
2017-03-28,Honduras,Costa Rica,1,1,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,0,0,0,62,HON,46,CRI,16
2017-07-07,Honduras,Costa Rica,0,1,Gold Cup,Harrison,United States,TRUE,-1,0,1,62,HON,46,CRI,16
1996-08-04,Costa Rica,Honduras,1,1,Friendly,San José,Costa Rica,FALSE,0,0,0,46,"CRI
",62,"HON
",-16
1998-01-21,Costa Rica,Honduras,1,4,Friendly,Nicoya,Costa Rica,FALSE,-3,0,1,46,"CRI
",62,"HON
",-16
1999-03-21,Costa Rica,Honduras,0,1,UNCAF Cup,San José,Costa Rica,FALSE,-1,0,1,46,"CRI
",62,"HON
",-16
1999-03-26,Costa Rica,Honduras,1,2,UNCAF Cup,San José,Costa Rica,FALSE,-1,0,1,46,"CRI
",62,"HON
",-16
1999-12-29,Costa Rica,Honduras,1,1,Friendly,Alajuela,Costa Rica,FALSE,0,0,0,46,"CRI
",62,"HON
",-16
2001-02-28,Costa Rica,Honduras,2,2,FIFA World Cup qualification,San José,Costa Rica,FALSE,0,0,0,46,"CRI
",62,"HON
",-16
2003-02-20,Costa Rica,Honduras,1,0,UNCAF Cup,Panama City,Panama,TRUE,1,1,0,46,"CRI
",62,"HON
",-16
2004-08-18,Costa Rica,Honduras,2,5,FIFA World Cup qualification,Alajuela,Costa Rica,FALSE,-3,0,1,46,"CRI
",62,"HON
",-16
2005-02-27,Costa Rica,Honduras,1,1,UNCAF Cup,Guatemala,Guatemala,TRUE,0,0,0,46,"CRI
",62,"HON
",-16
2007-02-09,Costa Rica,Honduras,3,1,UNCAF Cup,San Salvador,El Salvador,TRUE,2,1,0,46,"CRI
",62,"HON
",-16
2007-09-09,Costa Rica,Honduras,0,0,Friendly,East Hartford,United States,TRUE,0,0,0,46,"CRI
",62,"HON
",-16
2009-02-11,Costa Rica,Honduras,2,0,FIFA World Cup qualification,San José,Costa Rica,FALSE,2,1,0,46,"CRI
",62,"HON
",-16
2011-01-14,Costa Rica,Honduras,1,1,UNCAF Cup,Panama City,Panama,TRUE,0,0,0,46,"CRI
",62,"HON
",-16
2011-06-18,Costa Rica,Honduras,1,1,Gold Cup,East Rutherford,United States,TRUE,0,0,0,46,"CRI
",62,"HON
",-16
2012-04-11,Costa Rica,Honduras,1,1,Friendly,San José,Costa Rica,FALSE,0,0,0,46,"CRI
",62,"HON
",-16
2013-01-27,Costa Rica,Honduras,1,0,UNCAF Cup,San José,Costa Rica,FALSE,1,1,0,46,"CRI
",62,"HON
",-16
2013-06-07,Costa Rica,Honduras,1,0,FIFA World Cup qualification,San José,Costa Rica,FALSE,1,1,0,46,"CRI
",62,"HON
",-16
2017-10-07,Costa Rica,Honduras,1,1,FIFA World Cup qualification,San José,Costa Rica,FALSE,0,0,0,46,"CRI
",62,"HON
",-16
1996-10-26,Honduras,Jamaica,0,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,0,0,0,62,HON,48,JAM,14
2000-10-08,Honduras,Jamaica,1,0,FIFA World Cup qualification,Tegucigalpa,Honduras,FALSE,1,1,0,62,HON,48,JAM,14
2001-09-05,Honduras,Jamaica,1,0,FIFA World Cup qualification,Tegucigalpa,Honduras,FALSE,1,1,0,62,HON,48,JAM,14
2008-09-10,Honduras,Jamaica,2,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,2,1,0,62,HON,48,JAM,14
2011-06-13,Honduras,Jamaica,0,1,Gold Cup,Harrison,United States,TRUE,-1,0,1,62,HON,48,JAM,14
2011-10-11,Honduras,Jamaica,2,1,Friendly,La Ceiba,Honduras,FALSE,1,1,0,62,HON,48,JAM,14
2013-06-11,Honduras,Jamaica,2,0,FIFA World Cup qualification,Tegucigalpa,Honduras,FALSE,2,1,0,62,HON,48,JAM,14
1995-10-18,Jamaica,Honduras,1,0,Friendly,Kingston,Jamaica,FALSE,1,1,0,48,JAM,62,"HON
",-14
1996-09-15,Jamaica,Honduras,3,0,FIFA World Cup qualification,Kingston,Jamaica,FALSE,3,1,0,48,JAM,62,"HON
",-14
2000-02-14,Jamaica,Honduras,0,2,Gold Cup,Miami,United States,TRUE,-2,0,1,48,JAM,62,"HON
",-14
2000-07-23,Jamaica,Honduras,3,1,FIFA World Cup qualification,Kingston,Jamaica,FALSE,2,1,0,48,JAM,62,"HON
",-14
2001-04-25,Jamaica,Honduras,1,1,FIFA World Cup qualification,Kingston,Jamaica,FALSE,0,0,0,48,JAM,62,"HON
",-14
2004-03-31,Jamaica,Honduras,2,2,Friendly,Kingston,Jamaica,FALSE,0,0,0,48,JAM,62,"HON
",-14
2005-06-04,Jamaica,Honduras,0,0,Friendly,Atlanta,United States,TRUE,0,0,0,48,JAM,62,"HON
",-14
2008-10-15,Jamaica,Honduras,1,0,FIFA World Cup qualification,Kingston,Jamaica,FALSE,1,1,0,48,JAM,62,"HON
",-14
2013-10-15,Jamaica,Honduras,2,2,FIFA World Cup qualification,Kingston,Jamaica,FALSE,0,0,0,48,JAM,62,"HON
",-14
2019-06-17,Jamaica,Honduras,3,2,Gold Cup,Kingston,Jamaica,FALSE,1,1,0,48,JAM,62,"HON
",-14
1993-03-25,Honduras,"Estados Unidos
",4,1,Friendly,Tegucigalpa,Honduras,FALSE,3,1,0,62,HON,22,EUA,40
2001-03-28,Honduras,"Estados Unidos
",1,2,"Estados Unidos
",San Pedro Sula,Honduras,FALSE,-1,0,1,62,HON,22,EUA,40
2009-10-10,Honduras,"Estados Unidos
",2,3,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,-1,0,1,62,HON,22,EUA,40
2013-02-06,Honduras,"Estados Unidos
",2,1,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,1,1,0,62,HON,22,EUA,40
2017-09-05,Honduras,"Estados Unidos
",1,1,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,0,0,0,62,HON,22,EUA,40
1994-12-11,"Estados Unidos
",Honduras,1,1,Friendly,Fullerton,United States,FALSE,0,0,0,22,EUA,62,"HON
",-40
2001-09-01,"Estados Unidos
",Honduras,2,3,FIFA World Cup qualification,Washington,United States,FALSE,-1,0,1,22,EUA,62,"HON
",-40
2002-03-02,"Estados Unidos
",Honduras,4,0,Friendly,Seattle,United States,FALSE,4,1,0,22,EUA,62,"HON
",-40
2004-06-02,"Estados Unidos
",Honduras,4,0,Friendly,Foxborough,United States,FALSE,4,1,0,22,EUA,62,"HON
",-40
2005-03-19,"Estados Unidos
",Honduras,1,0,Friendly,Albuquerque,United States,FALSE,1,1,0,22,EUA,62,"HON
",-40
2005-07-21,"Estados Unidos
",Honduras,2,1,Gold Cup,East Rutherford,United States,FALSE,1,1,0,22,EUA,62,"HON
",-40
2009-06-06,"Estados Unidos
",Honduras,2,1,FIFA World Cup qualification,Chicago,United States,FALSE,1,1,0,22,EUA,62,"HON
",-40
2009-07-08,"Estados Unidos
",Honduras,2,0,Gold Cup,Washington,United States,FALSE,2,1,0,22,EUA,62,"HON
",-40
2009-07-23,"Estados Unidos
",Honduras,2,0,Gold Cup,Chicago,United States,FALSE,2,1,0,22,EUA,62,"HON
",-40
2010-01-23,"Estados Unidos
",Honduras,1,3,Friendly,Carson,United States,FALSE,-2,0,1,22,EUA,62,"HON
",-40
2011-10-08,"Estados Unidos
",Honduras,1,0,Friendly,Miami Gardens,United States,FALSE,1,1,0,22,EUA,62,"HON
",-40
2013-06-18,"Estados Unidos
",Honduras,1,0,FIFA World Cup qualification,Sandy,United States,FALSE,1,1,0,22,EUA,62,"HON
",-40
2013-07-24,"Estados Unidos
",Honduras,3,1,Gold Cup,Arlington,United States,FALSE,2,1,0,22,EUA,62,"HON
",-40
2014-10-14,"Estados Unidos
",Honduras,1,1,Friendly,Boca Raton,United States,FALSE,0,0,0,22,EUA,62,"HON
",-40
2015-07-07,"Estados Unidos
",Honduras,2,1,Gold Cup,Frisco,United States,FALSE,1,1,0,22,EUA,62,"HON
",-40
2017-03-24,"Estados Unidos
",Honduras,6,0,FIFA World Cup qualification,San Jose,United States,FALSE,6,1,0,22,EUA,62,"HON
",-40
1996-09-21,Honduras,Mexico,2,1,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,1,1,0,62,HON,11,MEX,51
2001-06-20,Honduras,Mexico,3,1,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,2,1,0,62,HON,11,MEX,51
2007-06-10,Honduras,Mexico,2,1,Gold Cup,East Rutherford,United States,TRUE,1,1,0,62,HON,11,MEX,51
2008-11-19,Honduras,Mexico,1,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,1,1,0,62,HON,11,MEX,51
2009-04-01,Honduras,Mexico,3,1,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,2,1,0,62,HON,11,MEX,51
2011-06-22,Honduras,Mexico,0,2,Gold Cup,Houston,United States,TRUE,-2,0,1,62,HON,11,MEX,51
2013-03-22,Honduras,Mexico,2,2,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,0,0,0,62,HON,11,MEX,51
2015-07-01,Honduras,Mexico,0,0,Friendly,Houston,United States,TRUE,0,0,0,62,HON,11,MEX,51
2015-11-17,Honduras,Mexico,0,2,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,-2,0,1,62,HON,11,MEX,51
2017-10-10,Honduras,Mexico,3,2,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,1,1,0,62,HON,11,MEX,51
1996-11-06,Mexico,Honduras,3,1,FIFA World Cup qualification,Mexico City,Mexico,FALSE,2,1,0,11,"MEX
",62,"HON
",-51
1998-02-07,Mexico,Honduras,2,0,Gold Cup,Oakland,United States,TRUE,2,1,0,11,"MEX
",62,"HON
",-51
2001-11-11,Mexico,Honduras,3,0,FIFA World Cup qualification,Mexico City,Mexico,FALSE,3,1,0,11,"MEX
",62,"HON
",-51
2003-07-17,Mexico,Honduras,0,0,Gold Cup,Mexico City,Mexico,FALSE,0,0,0,11,"MEX
",62,"HON
",-51
2008-08-20,Mexico,Honduras,2,1,FIFA World Cup qualification,Mexico City,Mexico,FALSE,1,1,0,11,"MEX
",62,"HON
",-51
2009-09-09,Mexico,Honduras,1,0,FIFA World Cup qualification,Mexico City,Mexico,FALSE,1,1,0,11,"MEX
",62,"HON
",-51
2013-09-06,Mexico,Honduras,1,2,FIFA World Cup qualification,Mexico City,Mexico,FALSE,-1,0,1,11,"MEX
",62,"HON
",-51
2016-09-06,Mexico,Honduras,0,0,FIFA World Cup qualification,Mexico City,Mexico,FALSE,0,0,0,11,"MEX
",62,"HON
",-51
2017-06-08,Mexico,Honduras,3,0,FIFA World Cup qualification,Mexico City,Mexico,FALSE,3,1,0,11,"MEX
",62,"HON
",-51
2017-07-20,Mexico,Honduras,1,0,Gold Cup,Glendale,United States,TRUE,1,1,0,11,"MEX
",62,"HON
",-51
1993-03-05,El Salvador,Costa Rica,0,1,UNCAF Cup,Tegucigalpa,Honduras,TRUE,-1,0,1,69,"ESA
",46,CRI,23
1995-12-03,El Salvador,Costa Rica,2,1,UNCAF Cup,San Salvador,El Salvador,FALSE,1,1,0,69,"ESA
",46,CRI,23
1995-12-10,El Salvador,Costa Rica,2,1,UNCAF Cup,San Salvador,El Salvador,FALSE,1,1,0,69,"ESA
",46,CRI,23
1997-05-04,El Salvador,Costa Rica,2,1,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,1,1,0,69,"ESA
",46,CRI,23
2007-02-16,El Salvador,Costa Rica,0,2,UNCAF Cup,San Salvador,El Salvador,FALSE,-2,0,1,69,"ESA
",46,CRI,23
2007-10-13,El Salvador,Costa Rica,2,2,Friendly,San Salvador,El Salvador,FALSE,0,0,0,69,"ESA
",46,CRI,23
2008-11-19,El Salvador,Costa Rica,1,3,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,-2,0,1,69,"ESA
",46,CRI,23
2009-09-09,El Salvador,Costa Rica,1,0,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,1,1,0,69,"ESA
",46,CRI,23
2012-10-12,El Salvador,Costa Rica,0,1,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,-1,0,1,69,"ESA
",46,CRI,23
1997-04-25,Costa Rica,El Salvador,1,0,UNCAF Cup,Guatemala,Guatemala,TRUE,1,1,0,46,"CRI
",69,ESA,-23
1997-08-10,Costa Rica,El Salvador,0,0,FIFA World Cup qualification,San José,Costa Rica,FALSE,0,0,0,46,"CRI
",69,ESA,-23
1999-03-28,Costa Rica,El Salvador,4,0,UNCAF Cup,San José,Costa Rica,FALSE,4,1,0,46,"CRI
",69,ESA,-23
2001-06-03,Costa Rica,El Salvador,1,1,UNCAF Cup,San Pedro Sula,Honduras,TRUE,0,0,0,46,"CRI
",69,ESA,-23
2003-02-11,Costa Rica,El Salvador,1,0,UNCAF Cup,Panama City,Panama,TRUE,1,1,0,46,"CRI
",69,ESA,-23
2003-07-19,Costa Rica,El Salvador,5,2,Gold Cup,Foxborough,United States,TRUE,3,1,0,46,"CRI
",69,ESA,-23
2005-02-21,Costa Rica,El Salvador,2,1,UNCAF Cup,Guatemala,Guatemala,TRUE,1,1,0,46,"CRI
",69,ESA,-23
2008-08-20,Costa Rica,El Salvador,1,0,FIFA World Cup qualification,San José,Costa Rica,FALSE,1,1,0,46,"CRI
",69,ESA,-23
2009-01-30,Costa Rica,El Salvador,3,0,UNCAF Cup,Tegucigalpa,Honduras,TRUE,3,1,0,46,"CRI
",69,ESA,-23
2009-04-01,Costa Rica,El Salvador,1,0,FIFA World Cup qualification,San José,Costa Rica,FALSE,1,1,0,46,"CRI
",69,ESA,-23
2009-07-03,Costa Rica,El Salvador,1,2,Gold Cup,Carson,United States,TRUE,-1,0,1,46,"CRI
",69,ESA,-23
2010-10-12,Costa Rica,El Salvador,2,1,Friendly,Ciudad Quesada,Costa Rica,FALSE,1,1,0,46,"CRI
",69,ESA,-23
2011-06-09,Costa Rica,El Salvador,1,1,Gold Cup,Charlotte,United States,TRUE,0,0,0,46,"CRI
",69,ESA,-23
2012-06-08,Costa Rica,El Salvador,2,2,FIFA World Cup qualification,San José,Costa Rica,FALSE,0,0,0,46,"CRI
",69,ESA,-23
2013-01-25,Costa Rica,El Salvador,1,0,UNCAF Cup,San José,Costa Rica,FALSE,1,1,0,46,"CRI
",69,ESA,-23
2015-07-11,Costa Rica,El Salvador,1,1,Gold Cup,Houston,United States,TRUE,0,0,0,46,"CRI
",69,ESA,-23
1997-11-09,El Salvador,Jamaica,2,2,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,0,0,0,69,"ESA
",48,JAM,21
2000-11-15,El Salvador,Jamaica,2,0,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,2,1,0,69,"ESA
",48,JAM,21
2004-09-08,El Salvador,Jamaica,0,3,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,-3,0,1,69,"ESA
",48,JAM,21
2008-07-26,El Salvador,Jamaica,0,0,Friendly,Frisco,United States,TRUE,0,0,0,69,"ESA
",48,JAM,21
2009-05-30,El Salvador,Jamaica,0,0,Friendly,Washington,United States,TRUE,0,0,0,69,"ESA
",48,JAM,21
2009-07-10,El Salvador,Jamaica,0,1,Gold Cup,Miami,United States,TRUE,-1,0,1,69,"ESA
",48,JAM,21
2011-03-29,El Salvador,Jamaica,2,3,Friendly,San Salvador,El Salvador,FALSE,-1,0,1,69,"ESA
",48,JAM,21
2012-08-15,El Salvador,Jamaica,0,2,Friendly,Washington,United States,TRUE,-2,0,1,69,"ESA
",48,JAM,21
2019-03-24,El Salvador,Jamaica,2,0,CONCACAF Nations League qualification,San Salvador,El Salvador,FALSE,2,1,0,69,"ESA
",48,JAM,21
2019-06-21,El Salvador,Jamaica,0,0,Gold Cup,Houston,United States,TRUE,0,0,0,69,"ESA
",48,JAM,21
1997-05-18,Jamaica,El Salvador,1,0,FIFA World Cup qualification,Kingston,Jamaica,FALSE,1,1,0,48,JAM,69,ESA,-21
1998-02-09,Jamaica,El Salvador,2,0,Gold Cup,Los Angeles,United States,TRUE,2,1,0,48,JAM,69,ESA,-21
2000-08-16,Jamaica,El Salvador,1,0,FIFA World Cup qualification,Kingston,Jamaica,FALSE,1,1,0,48,JAM,69,ESA,-21
2003-11-16,Jamaica,El Salvador,3,0,Friendly,Kingston,Jamaica,FALSE,3,1,0,48,JAM,69,ESA,-21
2004-10-13,Jamaica,El Salvador,0,0,FIFA World Cup qualification,Kingston,Jamaica,FALSE,0,0,0,48,JAM,69,ESA,-21
2007-11-18,Jamaica,El Salvador,3,0,Friendly,Kingston,Jamaica,FALSE,3,1,0,48,JAM,69,ESA,-21
